ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
27,000000;94,000000;3,000000;10000,000000;0,000300;6,165078;-75,625479;430748,364560;681443,270389;430848,364560;681543,270389
27,000000;95,000000;2,000000;10000,000000;0,000200;6,165983;-75,625480;430748,364560;681543,270389;430848,364560;681643,270389
28,000000;87,000000;6,000000;10000,000000;0,000600;6,158747;-75,624568;430848,364560;680743,270389;430948,364560;680843,270389
28,000000;88,000000;3,000000;10000,000000;0,000300;6,159652;-75,624569;430848,364560;680843,270389;430948,364560;680943,270389
28,000000;89,000000;8,000000;10000,000000;0,000800;6,160556;-75,624570;430848,364560;680943,270389;430948,364560;681043,270389
28,000000;90,000000;1,000000;10000,000000;0,000100;6,161461;-75,624571;430848,364560;681043,270389;430948,364560;681143,270389
28,000000;91,000000;2,000000;10000,000000;0,000200;6,162365;-75,624572;430848,364560;681143,270389;430948,364560;681243,270389
28,000000;93,000000;4,000000;10000,000000;0,000400;6,164174;-75,624574;430848,364560;681343,270389;430948,364560;681443,270389
28,000000;94,000000;8,000000;10000,000000;0,000800;6,165079;-75,624575;430848,364560;681443,270389;430948,364560;681543,270389
28,000000;95,000000;2,000000;10000,000000;0,000200;6,165984;-75,624576;430848,364560;681543,270389;430948,364560;681643,270389
29,000000;94,000000;7,000000;10000,000000;0,000700;6,165080;-75,623671;430948,364560;681443,270389;431048,364560;681543,270389
29,000000;95,000000;2,000000;10000,000000;0,000200;6,165985;-75,623672;430948,364560;681543,270389;431048,364560;681643,270389
31,000000;196,000000;3,000000;10000,000000;0,000300;6,257349;-75,621972;431148,364560;691643,270389;431248,364560;691743,270389
32,000000;93,000000;1,000000;10000,000000;0,000100;6,164179;-75,620959;431248,364560;681343,270389;431348,364560;681443,270389
32,000000;94,000000;1,000000;10000,000000;0,000100;6,165083;-75,620960;431248,364560;681443,270389;431348,364560;681543,270389
32,000000;196,000000;4,000000;10000,000000;0,000400;6,257350;-75,621068;431248,364560;691643,270389;431348,364560;691743,270389
33,000000;103,000000;1,000000;10000,000000;0,000100;6,173225;-75,620065;431348,364560;682343,270389;431448,364560;682443,270389
33,000000;195,000000;2,000000;10000,000000;0,000200;6,256446;-75,620163;431348,364560;691543,270389;431448,364560;691643,270389
33,000000;196,000000;5,000000;10000,000000;0,000500;6,257351;-75,620164;431348,364560;691643,270389;431448,364560;691743,270389
